,chain,project,action,usd_value_out,usd_value_out_pct_share,usd_value_net,usd_value_net_pct_share,address,style,granularity
67805,Ethereum,0x892e9e24aea3f27f4c6e9360e312cce93cc98ebe,0x892e9e24aea3f27f4c6e9360e312cce93cc98ebe,46901560.25232379,0.00018759488281532832,46901560.25232379,0.00023352579789325987,6.0,Dollar-Weighted,project
63823,Ethereum,0x810f32f76f16fd495373b428937f354a42eeab0a,0x810f32f76f16fd495373b428937f354a42eeab0a,46779160.31640001,0.0001871053127133382,46779160.31640001,0.0002329163609673898,5.0,Dollar-Weighted,project
502,Ethereum,0x00c96273e0bcdc5de0cd094bfc8306037f836387,0x00c96273e0bcdc5de0cd094bfc8306037f836387,46730354.185453214,0.00018691010000897664,46730354.185453214,0.0002326733521930523,6.0,Dollar-Weighted,project
54621,Ethereum,0x6de6e7c7f616d0d3e867c22ead06c6317fa30672,0x6de6e7c7f616d0d3e867c22ead06c6317fa30672,46680592.687886655,0.000186711066069498,46680592.687886655,0.00023242558658864436,7.0,Dollar-Weighted,project
2208,Ethereum,0x03ee019dca5e0a5ac20ae7a7ba8c8cddff0cde26,0x03ee019dca5e0a5ac20ae7a7ba8c8cddff0cde26,46653385.88736,0.0001866022454560873,46653385.88736,0.0002322901222295286,2.0,Dollar-Weighted,project
24177,Ethereum,0x304f70e07da3bda34234b51db570d9c7ec64a982,0x304f70e07da3bda34234b51db570d9c7ec64a982,46575142.87328362,0.00018628929234796443,46575142.87328362,0.00023190054537550794,5.0,Dollar-Weighted,project
58970,Ethereum,0x770b376dca76cb1e190f9539010bce8d96c26bc6,0x770b376dca76cb1e190f9539010bce8d96c26bc6,46539200.76137397,0.0001861455326044601,46539200.76137397,0.00023172158735542257,1.0,Dollar-Weighted,project
50721,Ethereum,0x661bc014ba045a1918215cbe2af8121ada09638d,0x661bc014ba045a1918215cbe2af8121ada09638d,46402268.419444636,0.00018559783639777392,44520358.614415064,0.00022166964621204107,26.0,Dollar-Weighted,project
125754,Ethereum,0xfe99644d35926a7955f88eccfa52a13012fa984e,0xfe99644d35926a7955f88eccfa52a13012fa984e,46183396.067331485,0.00018472239999384006,46183396.067331485,0.00022995001356078913,21.0,Dollar-Weighted,project
42226,Ethereum,0x550039eb06e135cbf73e2a0eeb4a89709752bc08,0x550039eb06e135cbf73e2a0eeb4a89709752bc08,46050375.37154107,0.0001841903494244226,46050375.37154107,0.00022928769520818733,4.0,Dollar-Weighted,project
25985,Ethereum,0x33fe5557e90a872a065f2acfd973847e33fc4532,0x33fe5557e90a872a065f2acfd973847e33fc4532,46022212.962753296,0.0001840777066093879,46022212.962753296,0.0002291474728158537,12.0,Dollar-Weighted,project
24825,Ethereum,0x3196682ead5ce55f148f3ea4665185cca203c78a,0x3196682ead5ce55f148f3ea4665185cca203c78a,45963917.36658,0.00018384453834219286,45963917.36658,0.00022885721540145655,10.0,Dollar-Weighted,project
64887,Ethereum,0x833f3b6faa717079fb3a1030f6207c57b1c591bd,0x833f3b6faa717079fb3a1030f6207c57b1c591bd,45962729.979146495,0.00018383978908000954,45962729.979146495,0.0002288513033252628,15.0,Dollar-Weighted,project
3181,Ethereum,0x05d5dd85827200b98fb24f585e395bcf9e2d8de0,0x05d5dd85827200b98fb24f585e395bcf9e2d8de0,45613797.58390144,0.0001824441440003083,45613797.58390144,0.00022711394713557462,1.0,Dollar-Weighted,project
105188,Ethereum,0xd4ac8947b7a1220042d86c10a82a9ac891e99d46,0xd4ac8947b7a1220042d86c10a82a9ac891e99d46,45318690.0,0.00018126378513117744,45318690.0,0.0002256445880433785,2.0,Dollar-Weighted,project
83308,Ethereum,0xa89891f90c26a1d992f658d755a9ed32b196f6da,0xa89891f90c26a1d992f658d755a9ed32b196f6da,45078736.92421064,0.00018030403093767695,624871.1684906401,3.111272576375333e-06,12.0,Dollar-Weighted,project
25682,Ethereum,0x335c8817885842850bc5776f7a4d8d0021fdfb92,0x335c8817885842850bc5776f7a4d8d0021fdfb92,45060656.60083248,0.00018023171402269285,37433701.335007474,0.00018638473699651576,34.0,Dollar-Weighted,project
64691,Ethereum,0x82e1d4ddd636857ebcf6a0e74b9b0929c158d7fb,0x82e1d4ddd636857ebcf6a0e74b9b0929c158d7fb,44883747.397512,0.00017952412005167533,44883747.397512,0.00022347898165976678,1.0,Dollar-Weighted,project
44313,Ethereum,0x5928dcf867140d9e32eece2cf838e076d2fb289a,0x5928dcf867140d9e32eece2cf838e076d2fb289a,44630645.15955339,0.0001785117723938426,44630645.15955339,0.0002222187698086072,6.0,Dollar-Weighted,project
45575,Ethereum,0x5bcbdfb6cc624b959c39a2d16110d1f2d9204f72,0x5bcbdfb6cc624b959c39a2d16110d1f2d9204f72,44627639.873868346,0.0001784997519788952,44627639.873868346,0.000222203806303476,35.0,Dollar-Weighted,project
111234,Ethereum,0xe12e6b1e33d37cfe52d72c8987eb5d0c9a4152e0,0xe12e6b1e33d37cfe52d72c8987eb5d0c9a4152e0,44572307.48873916,0.00017827843583827305,44572307.48873916,0.00022192830290194493,1.0,Dollar-Weighted,project
13724,Ethereum,0x1b20b200a78c6068ce5ea96226d1b53e0a119202,0x1b20b200a78c6068ce5ea96226d1b53e0a119202,44474242.39338912,0.0001778861992053872,44474242.39338912,0.000221440030667207,10.0,Dollar-Weighted,project
72377,Ethereum,0x9277a463a508f45115fdeaf22ffeda1b16352433,0x9277a463a508f45115fdeaf22ffeda1b16352433,44366357.05677793,0.00017745468398563358,44366357.05677793,0.00022090286283787318,62.0,Dollar-Weighted,project
